target_column,threshold,mean_imputed,mean_observed,mean_diff,median_imputed,median_observed,median_diff,std_imputed,std_observed,std_diff,iqr_imputed,iqr_observed,iqr_diff
sf36bp_a,0.1,53.54,56.3,-2.76,51.0,62.0,-11.0,16.64,21.33,-4.69,21.0,31.0,-10.0
sf36bp_a,0.2,53.18,56.3,-3.12,51.0,62.0,-11.0,17.02,21.33,-4.3,21.0,31.0,-10.0
sf36bp_a,0.4,50.7,56.3,-5.6,51.0,62.0,-11.0,18.57,21.33,-2.76,21.0,31.0,-10.0
sf36bp_a,0.5,53.52,56.3,-2.78,51.0,62.0,-11.0,20.64,21.33,-0.69,21.0,31.0,-10.0
sf36bp_a,0,42.39,56.3,-13.91,41.0,62.0,-21.0,26.36,21.33,5.03,40.0,31.0,9.0
sf36gh_a,0.1,51.98,54.17,-2.19,52.0,55.0,-3.0,17.67,20.17,-2.5,27.0,27.0,0.0
sf36gh_a,0.2,50.28,54.17,-3.9,50.0,55.0,-5.0,18.39,20.17,-1.78,27.0,27.0,0.0
sf36gh_a,0.4,52.65,54.17,-1.52,52.0,55.0,-3.0,19.85,20.17,-0.32,30.0,27.0,3.0
sf36gh_a,0.5,54.27,54.17,0.1,57.0,55.0,2.0,19.94,20.17,-0.23,27.0,27.0,0.0
sf36gh_a,0,43.0,54.17,-11.17,45.0,55.0,-10.0,25.36,20.17,5.19,37.0,27.0,10.0
sf36mh_a,0.1,72.14,72.71,-0.58,75.0,75.0,0.0,18.87,19.39,-0.52,25.0,30.0,-5.0
sf36mh_a,0.2,72.31,72.71,-0.41,75.0,75.0,0.0,18.9,19.39,-0.49,25.0,30.0,-5.0
sf36mh_a,0.4,72.1,72.71,-0.61,75.0,75.0,0.0,19.7,19.39,0.31,25.0,30.0,-5.0
sf36mh_a,0.5,73.18,72.71,0.47,75.0,75.0,0.0,19.46,19.39,0.07,30.0,30.0,0.0
sf36mh_a,0,61.82,72.71,-10.9,65.0,75.0,-10.0,31.51,19.39,12.12,50.0,30.0,20.0
sf36pf_a,0.1,65.19,69.18,-3.98,65.0,75.0,-10.0,21.4,23.7,-2.3,30.0,35.0,-5.0
sf36pf_a,0.2,65.41,69.18,-3.77,70.0,75.0,-5.0,22.24,23.7,-1.46,35.0,35.0,0.0
sf36pf_a,0.4,67.04,69.18,-2.13,70.0,75.0,-5.0,23.32,23.7,-0.38,35.0,35.0,0.0
sf36pf_a,0.5,66.83,69.18,-2.34,70.0,75.0,-5.0,23.37,23.7,-0.33,35.0,35.0,0.0
sf36pf_a,0,39.68,69.18,-29.5,40.0,75.0,-35.0,30.7,23.7,7.0,55.0,35.0,20.0
sf36re_a,0.1,73.89,74.74,-0.86,75.0,75.0,0.0,27.19,27.46,-0.27,50.0,50.0,0.0
sf36re_a,0.2,74.84,74.74,0.1,75.0,75.0,0.0,27.0,27.46,-0.46,50.0,50.0,0.0
sf36re_a,0.4,75.94,74.74,1.2,83.33,75.0,8.33,27.26,27.46,-0.2,41.67,50.0,-8.33
sf36re_a,0.5,76.4,74.74,1.65,83.33,75.0,8.33,26.99,27.46,-0.47,41.67,50.0,-8.33
sf36re_a,0,55.06,74.74,-19.68,58.33,75.0,-16.67,40.53,27.46,13.07,91.67,50.0,41.67
sf36rp_a,0.1,55.49,59.54,-4.05,50.0,56.25,-6.25,24.94,28.4,-3.46,37.5,43.75,-6.25
sf36rp_a,0.2,55.31,59.54,-4.23,50.0,56.25,-6.25,25.36,28.4,-3.04,37.5,43.75,-6.25
sf36rp_a,0.4,51.67,59.54,-7.87,50.0,56.25,-6.25,26.3,28.4,-2.09,37.5,43.75,-6.25
sf36rp_a,0.5,56.74,59.54,-2.8,50.0,56.25,-6.25,27.73,28.4,-0.67,37.5,43.75,-6.25
sf36rp_a,0,47.87,59.54,-11.67,50.0,56.25,-6.25,33.79,28.4,5.39,50.0,43.75,6.25
sf36sf_a,0.1,74.8,74.92,-0.12,75.0,75.0,0.0,23.34,24.46,-1.12,37.5,37.5,0.0
sf36sf_a,0.2,75.65,74.92,0.73,75.0,75.0,0.0,23.16,24.46,-1.3,37.5,37.5,0.0
sf36sf_a,0.4,74.27,74.92,-0.65,75.0,75.0,0.0,23.98,24.46,-0.47,37.5,37.5,0.0
sf36sf_a,0.5,76.4,74.92,1.48,87.5,75.0,12.5,23.93,24.46,-0.53,37.5,37.5,0.0
sf36sf_a,0,64.5,74.92,-10.42,75.0,75.0,0.0,33.81,24.46,9.35,62.5,37.5,25.0
sf36vi_a,0.1,53.8,54.62,-0.82,56.25,56.25,0.0,20.38,21.46,-1.09,31.25,31.25,0.0
sf36vi_a,0.2,54.03,54.62,-0.59,56.25,56.25,0.0,20.56,21.46,-0.9,31.25,31.25,0.0
sf36vi_a,0.4,53.42,54.62,-1.2,56.25,56.25,0.0,21.17,21.46,-0.29,31.25,31.25,0.0
sf36vi_a,0.5,55.44,54.62,0.82,56.25,56.25,0.0,21.35,21.46,-0.11,31.25,31.25,0.0
sf36vi_a,0,40.71,54.62,-13.91,31.25,56.25,-25.0,31.61,21.46,10.14,50.0,31.25,18.75
